electrode,cluster,spiketime
1.0,6.0,0.506925
1.0,5.0,1.120705
1.0,5.0,1.34406
1.0,5.0,2.417015
1.0,6.0,3.09019
1.0,6.0,4.624125
1.0,6.0,4.627325
1.0,6.0,4.630685
1.0,5.0,5.314805
1.0,5.0,5.365455
1.0,5.0,5.44257
1.0,5.0,5.44769
1.0,5.0,5.457015
1.0,5.0,5.460975
1.0,5.0,5.62084
1.0,6.0,5.709515
1.0,5.0,5.93947
1.0,6.0,6.4342
1.0,6.0,6.474295
1.0,6.0,6.5336
1.0,6.0,6.675935
1.0,6.0,6.69239
1.0,6.0,6.744615
1.0,6.0,6.7468
1.0,6.0,6.763905
1.0,6.0,6.76492
1.0,6.0,6.769565
1.0,5.0,8.2425
1.0,5.0,8.36025
1.0,5.0,8.361085
1.0,5.0,8.36216
1.0,5.0,9.31817
1.0,5.0,9.41901
1.0,5.0,9.42245
1.0,6.0,9.508865
1.0,6.0,9.75577
1.0,6.0,9.98249
1.0,5.0,10.562515
1.0,5.0,10.770235
1.0,5.0,11.512465
1.0,5.0,11.512755
1.0,6.0,12.44789
1.0,6.0,13.10986
1.0,6.0,13.427825
1.0,5.0,13.57103
1.0,5.0,13.73451
1.0,5.0,14.41278
1.0,5.0,14.62376
1.0,6.0,14.693905
1.0,5.0,14.897065
1.0,5.0,15.418055
1.0,5.0,15.42311
1.0,5.0,15.433305
1.0,5.0,15.457785
1.0,5.0,15.486455
1.0,5.0,15.687395
1.0,6.0,16.95937
1.0,6.0,16.975375
1.0,5.0,17.235225
1.0,5.0,17.443535
1.0,5.0,17.478445
1.0,5.0,17.502645
1.0,6.0,18.14191
1.0,6.0,18.14284
1.0,5.0,18.799705
1.0,5.0,19.083705
1.0,6.0,20.67419
1.0,5.0,20.80378
1.0,6.0,20.812665
1.0,5.0,20.81455
1.0,5.0,20.81834
1.0,5.0,20.82849
1.0,5.0,22.796205
1.0,5.0,22.79634
1.0,6.0,22.799565
1.0,6.0,23.376335
1.0,5.0,24.24005
1.0,5.0,25.737105
1.0,5.0,25.737685
1.0,5.0,25.73952
1.0,5.0,25.74085
1.0,5.0,25.74303
1.0,5.0,25.753465
1.0,5.0,25.757665
1.0,5.0,25.766345
1.0,5.0,27.355125
1.0,5.0,27.35623
1.0,5.0,27.74267
1.0,6.0,28.86236
1.0,6.0,28.87967
1.0,6.0,28.95409
1.0,6.0,28.95526
1.0,5.0,28.978305
1.0,5.0,28.97908
1.0,5.0,29.77187
1.0,5.0,29.773655
1.0,6.0,29.90582
1.0,5.0,30.48101
1.0,5.0,30.501485
1.0,5.0,30.52334
1.0,5.0,30.52653
1.0,5.0,30.537325
1.0,5.0,30.87583
1.0,6.0,30.897675
1.0,6.0,30.902125
1.0,6.0,30.90407
1.0,6.0,30.90487
1.0,6.0,30.91268
1.0,6.0,30.91453
1.0,6.0,30.917475
1.0,6.0,30.92346
1.0,6.0,30.923945
1.0,6.0,30.925335
1.0,6.0,30.926485
1.0,6.0,30.92726
1.0,6.0,30.92928
1.0,6.0,30.930595
1.0,6.0,30.93219
1.0,6.0,30.932925
1.0,6.0,30.93462
1.0,6.0,30.93481
1.0,6.0,30.936795
1.0,6.0,30.938005
1.0,6.0,30.94137
1.0,6.0,30.956115
1.0,6.0,30.95682
1.0,6.0,30.957935
