delay_time,region,mi_max,p-value
-0.9,EC,0.6792511375350867,0.039
0.25,CA1,0.7847213373516482,0.002
-0.9,EC,0.6112462204878628,0.0
0.9,CA3,0.27805405846764275,0.0
0.95,CA1,0.7134121909160214,0.003
0.7,EC,0.33559600610571594,0.011
0.85,EC,0.3587275015298119,0.029
-0.1,EC,0.49242820374731355,0.038
-0.95,EC,0.39062508531504836,0.023
0.75,CA3,0.4840532025445071,0.0
0.5,EC,0.4162677116035798,0.013
-0.25,CA1,0.28209586174179496,0.01
-0.25,CA3,0.6277014302112929,0.011
-0.65,CA1,0.2645357066042634,0.044
-1.0,CA3,0.5260620200014994,0.0
-1.0,CA3,0.5200299895843935,0.001
1.0,CA1,0.2499098632966912,0.029
-1.0,CA3,0.14274731730138818,0.0
-0.85,CA3,0.1899810285558779,0.049
-0.65,EC,0.7045532503524301,0.029
1.0,CA1,0.3189693986139975,0.0
0.25,EC,0.2877861158346661,0.031
0.1,CA1,0.43883266559027573,0.012
0.95,CA3,0.695341000797457,0.018
0.7,EC,0.7723739293426659,0.001
-0.85,EC,0.21277388705403888,0.002
0.45,EC,0.8680307381701473,0.006
-0.95,CA3,0.14459282579486293,0.02
0.55,CA1,0.19051771641281656,0.002
0.4,CA1,0.4870437227903163,0.036
-0.95,EC,0.4087017972311504,0.005
-0.35,CA3,0.2002169537344149,0.0
0.4,EC,0.49354135936821275,0.038
-0.3,CA1,0.37882643104693914,0.0
0.9,EC,1.0836527062745422,0.015
-1.0,CA1,0.9488063512254776,0.037
0.85,CA1,0.21565457463987894,0.007
-1.0,EC,0.13824033940060482,0.016
-0.4,CA1,0.2950422502605708,0.002
-0.9,CA3,0.4959744088168375,0.0
-0.75,EC,0.15602433242621205,0.002
0.5,CA1,0.9445010069726741,0.0
0.9,EC,0.3666679483896995,0.001
-0.45,CA1,0.5213655342965076,0.026
0.2,CA3,0.15729541467163433,0.036
0.3,EC,0.19651552634553512,0.021
-0.4,EC,0.586101367254944,0.022
-0.45,CA1,0.2852379246134786,0.0
-1.0,EC,1.6592456827515776,0.01
0.55,CA1,1.294970340045644,0.001
-1.0,CA3,0.4952692919186851,0.0
0.9,CA1,0.3727608894869313,0.0
1.0,CA1,4.2618828651870935,0.047
0.6,EC,0.5836203075077,0.03
1.0,CA3,0.4877690962071777,0.009
0.65,EC,1.29796051235463,0.0
0.95,EC,0.15864507895338342,0.014
-0.85,CA1,0.5202173704861868,0.0
0.5,EC,2.1053622688664344,0.0
-0.15,EC,0.33061914355484856,0.002
-0.65,CA3,0.41218666807848053,0.0
-0.3,CA3,0.5237920632582356,0.0
0.2,CA1,0.5088833174834623,0.014
0.65,CA3,0.15848337034948395,0.001
-0.75,EC,0.1993206806214882,0.003
-0.4,CA1,0.6795380610468194,0.0
0.4,CA3,0.3252538632600806,0.04
1.0,EC,0.8120167545042103,0.005
-0.8,EC,0.209489859073344,0.035
